name_profile,drug,dose,time,nsamples_trt,nsamples_ctl,sample_size,n_batch,ss_genes,UP,DOWN,cell_iname
AG-490_10uM_24h,AG-490,10 uM,24 h,6,32,38,1,1,1,0,NPC
BML-284_10uM_6h,BML-284,10 uM,6 h,6,55,61,2,163,52,111,NPC
CITCO_10uM_24h,CITCO,10 uM,24 h,6,58,64,2,0,0,0,NPC
PD-184352_10uM_24h,PD-184352,10 uM,24 h,6,56,62,2,73,34,39,NPC
TTNPB_10uM_6h,TTNPB,10 uM,6 h,6,55,61,2,1,0,1,NPC
spermidine_10uM_6h,spermidine,10 uM,6 h,6,55,61,2,1,0,1,NPC
GW-4064_10uM_6h,GW-4064,10 uM,6 h,6,55,61,2,1,1,0,NPC
GW-7647_10uM_6h,GW-7647,10 uM,6 h,6,55,61,2,10,7,3,NPC
STF-62247_10uM_24h,STF-62247,10 uM,24 h,6,58,64,2,47,22,25,NPC
suloctidil_10uM_24h,suloctidil,10 uM,24 h,6,37,43,1,6,2,4,NPC
acadesine_10uM_6h,acadesine,10 uM,6 h,6,55,61,2,2,1,1,NPC
AR-A014418_10uM_6h,AR-A014418,10 uM,6 h,6,55,61,2,1,1,0,NPC
endo-IWR-1_10uM_6h,endo-IWR-1,10 uM,6 h,6,55,61,2,2,0,2,NPC
endo-IWR-1_10uM_24h,endo-IWR-1,10 uM,24 h,6,58,64,2,127,43,84,NPC
TNP-470_10uM_6h,TNP-470,10 uM,6 h,6,55,61,2,11,8,3,NPC
ABC-294640_10uM_6h,ABC-294640,10 uM,6 h,6,55,61,2,0,0,0,NPC
NO-ASA_10uM_24h,NO-ASA,10 uM,24 h,6,58,64,2,75,20,55,NPC
tozasertib_10uM_24h,tozasertib,10 uM,24 h,6,27,33,1,559,211,348,NPC
ciglitazone_10uM_6h,ciglitazone,10 uM,6 h,6,55,61,2,0,0,0,NPC
M-344_10uM_6h,M-344,10 uM,6 h,6,55,61,2,170,80,90,NPC
genistein_10uM_6h,genistein,10 uM,6 h,6,55,61,2,1,0,1,NPC
KW-2449_0.04uM_24h,KW-2449,0.04 uM,24 h,6,131,137,3,8,5,3,NPC
SB-525334_0.04uM_24h,SB-525334,0.04 uM,24 h,6,131,137,3,1,0,1,NPC
SGI-1776_0.04uM_24h,SGI-1776,0.04 uM,24 h,6,131,137,3,2,1,1,NPC
WZ-4002_0.12uM_24h,WZ-4002,0.12 uM,24 h,6,131,137,3,2,2,0,NPC
OSI-930_0.12uM_24h,OSI-930,0.12 uM,24 h,6,131,137,3,5,1,4,NPC
CGP-60474_0.37uM_24h,CGP-60474,0.37 uM,24 h,6,136,142,4,797,305,492,NPC
geldanamycin_0.37uM_24h,geldanamycin,0.37 uM,24 h,6,99,105,2,38,25,13,NPC
wortmannin_0.37uM_24h,wortmannin,0.37 uM,24 h,6,99,105,2,0,0,0,NPC
geldanamycin_1.11uM_24h,geldanamycin,1.11 uM,24 h,6,99,105,2,193,75,118,NPC
troglitazone_1.11uM_24h,troglitazone,1.11 uM,24 h,6,99,105,2,2,1,1,NPC
wortmannin_1.11uM_24h,wortmannin,1.11 uM,24 h,6,99,105,2,4,1,3,NPC
BS-181_3.33uM_24h,BS-181,3.33 uM,24 h,6,131,137,3,133,68,65,NPC
geldanamycin_3.33uM_24h,geldanamycin,3.33 uM,24 h,6,99,105,2,414,153,261,NPC
wortmannin_3.33uM_24h,wortmannin,3.33 uM,24 h,6,99,105,2,1,1,0,NPC
tivantinib_3.33uM_24h,tivantinib,3.33 uM,24 h,6,132,138,3,280,109,171,NPC
BIX-02189_3.33uM_24h,BIX-02189,3.33 uM,24 h,6,131,137,3,7,4,3,NPC
octopamine_10uM_24h,octopamine,10 uM,24 h,5,66,71,2,0,0,0,NPC
WZ-4002_10uM_24h,WZ-4002,10 uM,24 h,5,72,77,2,292,84,208,NPC
MPEP_10uM_6h,MPEP,10 uM,6 h,5,54,59,2,1,0,1,NPC
octopamine_10uM_6h,octopamine,10 uM,6 h,5,54,59,2,0,0,0,NPC
GGTI-298_10uM_24h,GGTI-298,10 uM,24 h,5,66,71,2,1,1,0,NPC
GGTI-298_10uM_6h,GGTI-298,10 uM,6 h,5,54,59,2,1,1,0,NPC
kaempferol_10uM_24h,kaempferol,10 uM,24 h,5,66,71,2,0,0,0,NPC
phenothiazine_10uM_6h,phenothiazine,10 uM,6 h,5,54,59,2,0,0,0,NPC
nocodazole_10uM_6h,nocodazole,10 uM,6 h,5,54,59,2,92,58,34,NPC
CGS-21680_10uM_6h,CGS-21680,10 uM,6 h,5,54,59,2,0,0,0,NPC
mevastatin_10uM_6h,mevastatin,10 uM,6 h,5,54,59,2,2,1,1,NPC
ciproxifan_10uM_24h,ciproxifan,10 uM,24 h,5,66,71,2,3,2,1,NPC
alpha-methylserotonin_10uM_24h,alpha-methylserotonin,10 uM,24 h,5,66,71,2,2,1,1,NPC
phenothiazine_10uM_24h,phenothiazine,10 uM,24 h,5,66,71,2,0,0,0,NPC
ciproxifan_10uM_6h,ciproxifan,10 uM,6 h,5,54,59,2,0,0,0,NPC
SKF-81297_10uM_6h,SKF-81297,10 uM,6 h,5,54,59,2,0,0,0,NPC
SIB-1553A_10uM_6h,SIB-1553A,10 uM,6 h,5,54,59,2,0,0,0,NPC
rimonabant_10uM_24h,rimonabant,10 uM,24 h,5,66,71,2,0,0,0,NPC
WAY-100635_10uM_6h,WAY-100635,10 uM,6 h,5,54,59,2,0,0,0,NPC
luzindole_10uM_6h,luzindole,10 uM,6 h,5,54,59,2,0,0,0,NPC
clorgiline_10uM_6h,clorgiline,10 uM,6 h,5,54,59,2,0,0,0,NPC
kaempferol_10uM_6h,kaempferol,10 uM,6 h,5,54,59,2,0,0,0,NPC
SIB-1553A_10uM_24h,SIB-1553A,10 uM,24 h,5,66,71,2,0,0,0,NPC
cyanopindolol_10uM_6h,cyanopindolol,10 uM,6 h,5,54,59,2,2,2,0,NPC
nisoxetine_10uM_6h,nisoxetine,10 uM,6 h,5,54,59,2,0,0,0,NPC
oxyphenbutazone_10uM_6h,oxyphenbutazone,10 uM,6 h,5,54,59,2,72,37,35,NPC
thioperamide_10uM_6h,thioperamide,10 uM,6 h,5,54,59,2,0,0,0,NPC
nisoxetine_10uM_24h,nisoxetine,10 uM,24 h,5,66,71,2,1,1,0,NPC
pifithrin-mu_10uM_6h,pifithrin-mu,10 uM,6 h,5,54,59,2,47,25,22,NPC
rimonabant_10uM_6h,rimonabant,10 uM,6 h,5,54,59,2,4,1,3,NPC
alpha-methylserotonin_10uM_6h,alpha-methylserotonin,10 uM,6 h,5,54,59,2,10,3,7,NPC
tolcapone_10uM_24h,tolcapone,10 uM,24 h,5,66,71,2,0,0,0,NPC
zacopride_10uM_6h,zacopride,10 uM,6 h,5,54,59,2,0,0,0,NPC
PD-173074_10uM_24h,PD-173074,10 uM,24 h,5,48,53,2,500,196,304,NPC
zacopride_10uM_24h,zacopride,10 uM,24 h,5,66,71,2,0,0,0,NPC
tolcapone_10uM_6h,tolcapone,10 uM,6 h,5,54,59,2,0,0,0,NPC
NVP-TAE226_10uM_24h,NVP-TAE226,10 uM,24 h,5,109,114,3,577,213,364,NPC
cyanopindolol_10uM_24h,cyanopindolol,10 uM,24 h,5,66,71,2,2,1,1,NPC
RU-24969_10uM_6h,RU-24969,10 uM,6 h,5,54,59,2,0,0,0,NPC
CS-110266_10uM_6h,CS-110266,10 uM,6 h,5,54,59,2,5,4,1,NPC
fenobam_10uM_6h,fenobam,10 uM,6 h,5,54,59,2,0,0,0,NPC
YM-298198_10uM_6h,YM-298198,10 uM,6 h,5,54,59,2,2,0,2,NPC
cycloheximide_10uM_6h,cycloheximide,10 uM,6 h,5,54,59,2,118,63,55,NPC
JNJ-16259685_10uM_6h,JNJ-16259685,10 uM,6 h,5,54,59,2,0,0,0,NPC
vanoxerine_10uM_24h,vanoxerine,10 uM,24 h,5,50,55,2,22,16,6,NPC
clorgiline_10uM_24h,clorgiline,10 uM,24 h,5,66,71,2,18,10,8,NPC
MG-132_10uM_24h,MG-132,10 uM,24 h,5,50,55,3,622,224,398,NPC
RN-1_10uM_6h,RN-1,10 uM,6 h,5,54,59,2,1,1,0,NPC
CPCCOEt_10uM_6h,CPCCOEt,10 uM,6 h,5,54,59,2,0,0,0,NPC
RN-1_10uM_24h,RN-1,10 uM,24 h,5,66,71,2,0,0,0,NPC
NVP-BGJ398_0.04uM_24h,NVP-BGJ398,0.04 uM,24 h,5,109,114,3,22,10,12,NPC
TPCA-1_0.04uM_24h,TPCA-1,0.04 uM,24 h,5,109,114,2,41,18,23,NPC
MDL-29951_10uM_24h,MDL-29951,10 uM,24 h,4,37,41,1,3,0,3,NPC
SDZ-21009_10uM_24h,SDZ-21009,10 uM,24 h,4,39,43,1,2,0,2,NPC
ZM-306416_10uM_24h,ZM-306416,10 uM,24 h,4,40,44,1,1,1,0,NPC
BRL-50481_10uM_24h,BRL-50481,10 uM,24 h,4,40,44,1,0,0,0,NPC
WAY-170523_10uM_24h,WAY-170523,10 uM,24 h,4,37,41,1,1,1,0,NPC
SB-200646_10uM_24h,SB-200646,10 uM,24 h,4,40,44,1,0,0,0,NPC
SB-269970_10uM_24h,SB-269970,10 uM,24 h,4,39,43,1,0,0,0,NPC
SB-415286_10uM_24h,SB-415286,10 uM,24 h,4,37,41,1,0,0,0,NPC
L-152804_10uM_24h,L-152804,10 uM,24 h,4,39,43,1,28,6,22,NPC
cyclopiazonic-acid_10uM_24h,cyclopiazonic-acid,10 uM,24 h,4,40,44,1,7,5,2,NPC
aminomethyltransferase_10uM_24h,aminomethyltransferase,10 uM,24 h,4,39,43,1,44,7,37,NPC
BW-B70C_10uM_24h,BW-B70C,10 uM,24 h,4,39,43,1,3,2,1,NPC
SB-205384_10uM_24h,SB-205384,10 uM,24 h,4,39,43,1,5,0,5,NPC
BW-723C86_10uM_24h,BW-723C86,10 uM,24 h,4,40,44,1,0,0,0,NPC
nitrocaramiphen_10uM_24h,nitrocaramiphen,10 uM,24 h,4,40,44,1,0,0,0,NPC
EXO-1_10uM_24h,EXO-1,10 uM,24 h,4,40,44,1,1,0,1,NPC
T-0156_10uM_24h,T-0156,10 uM,24 h,4,40,44,1,0,0,0,NPC
PHTPP_10uM_24h,PHTPP,10 uM,24 h,4,39,43,1,0,0,0,NPC
RS-102221_10uM_24h,RS-102221,10 uM,24 h,4,40,44,1,0,0,0,NPC
naltrindole_10uM_24h,naltrindole,10 uM,24 h,4,40,44,1,0,0,0,NPC
U-18666A_10uM_24h,U-18666A,10 uM,24 h,4,40,44,1,6,5,1,NPC
trap-101_10uM_24h,trap-101,10 uM,24 h,4,40,44,1,15,8,7,NPC
NSC-95397_10uM_24h,NSC-95397,10 uM,24 h,4,37,41,1,11,5,6,NPC
SR-57227A_10uM_24h,SR-57227A,10 uM,24 h,4,40,44,1,22,14,8,NPC
PHA-767491_10uM_24h,PHA-767491,10 uM,24 h,4,87,91,2,739,288,451,NPC
phenolphthalein_10uM_24h,phenolphthalein,10 uM,24 h,4,37,41,1,0,0,0,NPC
bemesetron_10uM_24h,bemesetron,10 uM,24 h,4,40,44,1,105,50,55,NPC
ICI-89406_10uM_24h,ICI-89406,10 uM,24 h,4,39,43,1,2,0,2,NPC
levcromakalim_10uM_24h,levcromakalim,10 uM,24 h,4,39,43,1,4,1,3,NPC
PSB-11_10uM_24h,PSB-11,10 uM,24 h,4,39,43,1,1,1,0,NPC
DMP-543_10uM_24h,DMP-543,10 uM,24 h,4,40,44,1,3,2,1,NPC
ICI-63197_10uM_24h,ICI-63197,10 uM,24 h,4,37,41,1,0,0,0,NPC
GW-9508_10uM_24h,GW-9508,10 uM,24 h,4,39,43,1,3,1,2,NPC
L-745870_10uM_24h,L-745870,10 uM,24 h,4,40,44,1,1,1,0,NPC
pyrrolidine-dithiocarbamate_10uM_24h,pyrrolidine-dithiocarbamate,10 uM,24 h,4,40,44,1,10,9,1,NPC
OMDM-2_10uM_24h,OMDM-2,10 uM,24 h,4,39,43,1,16,3,13,NPC
ICI-162846_10uM_24h,ICI-162846,10 uM,24 h,4,39,43,1,1,1,0,NPC
pifithrin-alpha_10uM_24h,pifithrin-alpha,10 uM,24 h,4,37,41,1,0,0,0,NPC
RS-56812_10uM_24h,RS-56812,10 uM,24 h,4,40,44,1,69,43,26,NPC
dantron_10uM_24h,dantron,10 uM,24 h,4,37,41,1,0,0,0,NPC
XE-991_10uM_24h,XE-991,10 uM,24 h,4,37,41,1,8,5,3,NPC
KB-R7943_10uM_24h,KB-R7943,10 uM,24 h,4,39,43,1,4,0,4,NPC
embelin_10uM_24h,embelin,10 uM,24 h,4,40,44,1,0,0,0,NPC
homosalate_10uM_24h,homosalate,10 uM,24 h,4,37,41,1,1,1,0,NPC
YS-035_10uM_24h,YS-035,10 uM,24 h,4,39,43,1,7,3,4,NPC
apafant_10uM_24h,apafant,10 uM,24 h,4,40,44,1,2,1,1,NPC
NNC-63-0532_10uM_24h,NNC-63-0532,10 uM,24 h,4,40,44,1,0,0,0,NPC
pirenperone_10uM_24h,pirenperone,10 uM,24 h,4,37,41,1,0,0,0,NPC
PCO-400_10uM_24h,PCO-400,10 uM,24 h,4,39,43,1,5,1,4,NPC
GW-6471_10uM_24h,GW-6471,10 uM,24 h,4,37,41,1,6,3,3,NPC
NAS-181_10uM_24h,NAS-181,10 uM,24 h,4,37,41,1,0,0,0,NPC
ZK-93426_10uM_24h,ZK-93426,10 uM,24 h,4,39,43,1,11,5,6,NPC
PP-1_10uM_24h,PP-1,10 uM,24 h,4,40,44,1,106,43,63,NPC
AM-630_10uM_24h,AM-630,10 uM,24 h,4,40,44,1,0,0,0,NPC
monastrol_10uM_24h,monastrol,10 uM,24 h,4,40,44,1,3,1,2,NPC
alfadolone-acetate_10uM_24h,alfadolone-acetate,10 uM,24 h,4,39,43,1,0,0,0,NPC
BML-190_10uM_24h,BML-190,10 uM,24 h,4,40,44,1,0,0,0,NPC
ritanserin_10uM_24h,ritanserin,10 uM,24 h,4,37,41,1,0,0,0,NPC
PNU-282987_10uM_24h,PNU-282987,10 uM,24 h,4,37,41,1,0,0,0,NPC
alvocidib_10uM_24h,alvocidib,10 uM,24 h,4,38,42,2,0,0,0,NPC
oleoylethanolamide_10uM_6h,oleoylethanolamide,10 uM,6 h,4,36,40,2,13,3,10,NPC
RS-16566_10uM_24h,RS-16566,10 uM,24 h,4,40,44,1,0,0,0,NPC
loreclezole_10uM_24h,loreclezole,10 uM,24 h,4,40,44,1,0,0,0,NPC
strychnine_10uM_24h,strychnine,10 uM,24 h,4,37,41,1,0,0,0,NPC
limonin_10uM_24h,limonin,10 uM,24 h,4,39,43,1,0,0,0,NPC
Ro-04-5595_10uM_24h,Ro-04-5595,10 uM,24 h,4,40,44,1,1,1,0,NPC
nefazodone_10uM_24h,nefazodone,10 uM,24 h,4,40,44,1,0,0,0,NPC
necrostatin-1_10uM_24h,necrostatin-1,10 uM,24 h,4,37,41,1,0,0,0,NPC
PD-160170_10uM_24h,PD-160170,10 uM,24 h,4,40,44,1,5,2,3,NPC
CL-218872_10uM_24h,CL-218872,10 uM,24 h,4,40,44,1,2,1,1,NPC
zaprinast_10uM_24h,zaprinast,10 uM,24 h,4,39,43,1,8,3,5,NPC
SB-218795_10uM_24h,SB-218795,10 uM,24 h,4,39,43,1,0,0,0,NPC
remacemide_10uM_24h,remacemide,10 uM,24 h,4,37,41,1,33,24,9,NPC
WAY-100635_10uM_24h,WAY-100635,10 uM,24 h,4,58,62,2,1,1,0,NPC
dioxybenzone_10uM_24h,dioxybenzone,10 uM,24 h,4,39,43,1,0,0,0,NPC
SB-216641_10uM_24h,SB-216641,10 uM,24 h,4,40,44,1,0,0,0,NPC
ZD-7155_10uM_24h,ZD-7155,10 uM,24 h,4,39,43,1,6,1,5,NPC
SDZ-205-557_10uM_24h,SDZ-205-557,10 uM,24 h,4,40,44,1,0,0,0,NPC
NBQX_10uM_24h,NBQX,10 uM,24 h,4,37,41,1,15,9,6,NPC
gabazine_10uM_24h,gabazine,10 uM,24 h,4,40,44,1,5,4,1,NPC
MRS-1220_10uM_24h,MRS-1220,10 uM,24 h,4,40,44,1,7,5,2,NPC
BP-554_10uM_24h,BP-554,10 uM,24 h,4,40,44,1,1,1,0,NPC
MD-920_10uM_24h,MD-920,10 uM,24 h,4,39,43,1,0,0,0,NPC
roscovitine_10uM_24h,roscovitine,10 uM,24 h,4,39,43,1,19,5,14,NPC
phenformin_10uM_24h,phenformin,10 uM,24 h,4,40,44,1,0,0,0,NPC
SIB-1757_10uM_24h,SIB-1757,10 uM,24 h,4,40,44,1,7,4,3,NPC
NNC-711_10uM_24h,NNC-711,10 uM,24 h,4,40,44,1,0,0,0,NPC
JX-401_10uM_24h,JX-401,10 uM,24 h,4,39,43,1,4,2,2,NPC
MY-5445_10uM_24h,MY-5445,10 uM,24 h,4,39,43,1,29,5,24,NPC
Ro-15-4513_10uM_24h,Ro-15-4513,10 uM,24 h,4,40,44,1,1,0,1,NPC
MRS-1334_10uM_24h,MRS-1334,10 uM,24 h,4,39,43,1,1,1,0,NPC
piperine_10uM_24h,piperine,10 uM,24 h,4,40,44,1,0,0,0,NPC
CFM-1571_10uM_24h,CFM-1571,10 uM,24 h,4,39,43,1,3,1,2,NPC
Y-27152_10uM_24h,Y-27152,10 uM,24 h,4,37,41,1,1,1,0,NPC
SR-95639A_10uM_24h,SR-95639A,10 uM,24 h,4,40,44,1,191,78,113,NPC
isoflupredone-acetate_10uM_24h,isoflupredone-acetate,10 uM,24 h,4,39,43,1,1,0,1,NPC
FK-888_10uM_24h,FK-888,10 uM,24 h,4,40,44,1,2,2,0,NPC
telenzepine_10uM_24h,telenzepine,10 uM,24 h,4,40,44,1,0,0,0,NPC
diphenyleneiodonium_10uM_24h,diphenyleneiodonium,10 uM,24 h,4,39,43,1,419,159,260,NPC
MDL-72832_10uM_24h,MDL-72832,10 uM,24 h,4,39,43,1,70,13,57,NPC
H-89_10uM_24h,H-89,10 uM,24 h,4,39,43,1,3,0,3,NPC
GW-583340_10uM_24h,GW-583340,10 uM,24 h,4,39,43,1,14,7,7,NPC
relcovaptan_10uM_24h,relcovaptan,10 uM,24 h,4,40,44,1,0,0,0,NPC
EMD-386088_10uM_24h,EMD-386088,10 uM,24 h,4,37,41,1,1,1,0,NPC
SANT-1_10uM_24h,SANT-1,10 uM,24 h,4,40,44,1,1,1,0,NPC
PG-9_10uM_24h,PG-9,10 uM,24 h,4,40,44,1,0,0,0,NPC
BD-1063_10uM_24h,BD-1063,10 uM,24 h,4,39,43,1,1,0,1,NPC
FPL-55712_10uM_24h,FPL-55712,10 uM,24 h,4,40,44,1,15,9,6,NPC
EO-1428_10uM_24h,EO-1428,10 uM,24 h,4,39,43,1,17,10,7,NPC
L-755507_10uM_24h,L-755507,10 uM,24 h,4,37,41,1,0,0,0,NPC
FR-122047_10uM_24h,FR-122047,10 uM,24 h,4,40,44,1,0,0,0,NPC
SB-366791_10uM_24h,SB-366791,10 uM,24 h,4,40,44,1,6,4,2,NPC
siguazodan_10uM_24h,siguazodan,10 uM,24 h,4,39,43,1,0,0,0,NPC
icariin_10uM_24h,icariin,10 uM,24 h,4,39,43,1,0,0,0,NPC
CGP-12177_10uM_24h,CGP-12177,10 uM,24 h,4,39,43,1,18,6,12,NPC
DPPE_10uM_24h,DPPE,10 uM,24 h,4,40,44,1,1,0,1,NPC
rimcazole_10uM_24h,rimcazole,10 uM,24 h,4,40,44,1,3,1,2,NPC
RWJ-21757_10uM_24h,RWJ-21757,10 uM,24 h,4,37,41,1,0,0,0,NPC
xaliproden_10uM_24h,xaliproden,10 uM,24 h,4,40,44,1,0,0,0,NPC
SB-408124_10uM_24h,SB-408124,10 uM,24 h,4,40,44,1,1,1,0,NPC
GW-843682X_10uM_24h,GW-843682X,10 uM,24 h,4,40,44,1,53,21,32,NPC
PNU-120596_10uM_24h,PNU-120596,10 uM,24 h,4,39,43,1,6,2,4,NPC
SKF-86002_10uM_24h,SKF-86002,10 uM,24 h,4,40,44,1,0,0,0,NPC
puromycin_10uM_24h,puromycin,10 uM,24 h,4,40,44,1,0,0,0,NPC
ritodrine_10uM_24h,ritodrine,10 uM,24 h,4,37,41,1,2,1,1,NPC
GW-1929_10uM_24h,GW-1929,10 uM,24 h,4,37,41,1,26,14,12,NPC
desoxypeganine_10uM_24h,desoxypeganine,10 uM,24 h,4,37,41,1,0,0,0,NPC
BMY-14802_10uM_24h,BMY-14802,10 uM,24 h,4,39,43,1,24,10,14,NPC
CGP-37157_10uM_24h,CGP-37157,10 uM,24 h,4,40,44,1,5,3,2,NPC
nTZDpa_10uM_24h,nTZDpa,10 uM,24 h,4,39,43,1,0,0,0,NPC
osthol_10uM_24h,osthol,10 uM,24 h,4,40,44,1,0,0,0,NPC
phenacetin_10uM_24h,phenacetin,10 uM,24 h,4,37,41,1,0,0,0,NPC
AMG-9810_10uM_24h,AMG-9810,10 uM,24 h,4,37,41,1,4,3,1,NPC
calpeptin_10uM_24h,calpeptin,10 uM,24 h,4,39,43,1,115,47,68,NPC
securinine_10uM_24h,securinine,10 uM,24 h,4,37,41,1,3,2,1,NPC
rofecoxib_10uM_24h,rofecoxib,10 uM,24 h,4,37,41,1,1,1,0,NPC
BMS-191011_10uM_24h,BMS-191011,10 uM,24 h,4,40,44,1,0,0,0,NPC
NBI-27914_10uM_24h,NBI-27914,10 uM,24 h,4,40,44,1,25,17,8,NPC
SB-218078_10uM_24h,SB-218078,10 uM,24 h,4,40,44,1,75,26,49,NPC
cromakalim_10uM_24h,cromakalim,10 uM,24 h,4,40,44,1,0,0,0,NPC
ZM-323881_10uM_24h,ZM-323881,10 uM,24 h,4,40,44,1,20,12,8,NPC
CP-94253_10uM_24h,CP-94253,10 uM,24 h,4,40,44,1,0,0,0,NPC
asiatic-acid_10uM_24h,asiatic-acid,10 uM,24 h,4,39,43,1,1,0,1,NPC
vanoxerine_10uM_6h,vanoxerine,10 uM,6 h,4,44,48,2,43,15,28,NPC
BIBX-1382_10uM_24h,BIBX-1382,10 uM,24 h,4,37,41,1,2,2,0,NPC
L-701324_10uM_24h,L-701324,10 uM,24 h,4,39,43,1,0,0,0,NPC
CGS-20625_10uM_24h,CGS-20625,10 uM,24 h,4,40,44,1,0,0,0,NPC
DAU-5884_10uM_24h,DAU-5884,10 uM,24 h,4,40,44,1,5,5,0,NPC
purmorphamine_10uM_24h,purmorphamine,10 uM,24 h,4,39,43,1,29,11,18,NPC
olomoucine_10uM_24h,olomoucine,10 uM,24 h,4,40,44,1,49,28,21,NPC
Y-26763_10uM_24h,Y-26763,10 uM,24 h,4,37,41,1,2,2,0,NPC
IB-MECA_10uM_24h,IB-MECA,10 uM,24 h,4,39,43,1,7,3,4,NPC
UCL-2077_10uM_24h,UCL-2077,10 uM,24 h,4,39,43,1,4,4,0,NPC
fenretinide_10uM_6h,fenretinide,10 uM,6 h,4,36,40,2,25,11,14,NPC
norcyclobenzaprine_10uM_24h,norcyclobenzaprine,10 uM,24 h,4,40,44,1,0,0,0,NPC
GR-159897_10uM_24h,GR-159897,10 uM,24 h,4,39,43,1,0,0,0,NPC
SKF-77434_10uM_24h,SKF-77434,10 uM,24 h,4,40,44,1,52,23,29,NPC
desoxycortone_10uM_24h,desoxycortone,10 uM,24 h,4,40,44,1,1,1,0,NPC
BRL-54443_10uM_24h,BRL-54443,10 uM,24 h,4,40,44,1,3,2,1,NPC
CGP-55845_10uM_24h,CGP-55845,10 uM,24 h,4,40,44,1,0,0,0,NPC
AQ-RA741_10uM_24h,AQ-RA741,10 uM,24 h,4,40,44,1,0,0,0,NPC
PD-198306_10uM_24h,PD-198306,10 uM,24 h,4,40,44,1,257,101,156,NPC
PRE-084_10uM_24h,PRE-084,10 uM,24 h,4,37,41,1,1,0,1,NPC
BD-1008_10uM_24h,BD-1008,10 uM,24 h,4,39,43,1,1,1,0,NPC
bithionol_10uM_24h,bithionol,10 uM,24 h,4,37,41,1,172,62,110,NPC
WHI-P154_10uM_24h,WHI-P154,10 uM,24 h,4,39,43,1,57,34,23,NPC
equilin_10uM_24h,equilin,10 uM,24 h,4,40,44,2,0,0,0,NPC
KN-93_10uM_24h,KN-93,10 uM,24 h,4,40,44,1,304,125,179,NPC
SB-431542_10uM_24h,SB-431542,10 uM,24 h,4,39,43,1,249,98,151,NPC
Ro-60-0175_10uM_24h,Ro-60-0175,10 uM,24 h,4,40,44,1,0,0,0,NPC
T-0901317_10uM_24h,T-0901317,10 uM,24 h,4,39,43,1,27,8,19,NPC
prednisolone-hemisuccinate_10uM_24h,prednisolone-hemisuccinate,10 uM,24 h,4,37,41,1,1,1,0,NPC
remoxipride_10uM_24h,remoxipride,10 uM,24 h,4,40,44,1,5,4,1,NPC
PSB-06126_10uM_24h,PSB-06126,10 uM,24 h,4,37,41,1,1,1,0,NPC
C-1_10uM_24h,C-1,10 uM,24 h,4,40,44,1,0,0,0,NPC
SDZ-WAG-994_10uM_24h,SDZ-WAG-994,10 uM,24 h,4,37,41,1,0,0,0,NPC
quipazine_10uM_24h,quipazine,10 uM,24 h,4,37,41,1,0,0,0,NPC
cilostamide_10uM_24h,cilostamide,10 uM,24 h,4,40,44,1,51,17,34,NPC
CGP-13501_10uM_24h,CGP-13501,10 uM,24 h,4,40,44,1,0,0,0,NPC
wiskostatin_10uM_24h,wiskostatin,10 uM,24 h,4,40,44,1,48,17,31,NPC
arctigenin_10uM_24h,arctigenin,10 uM,24 h,4,40,44,1,8,4,4,NPC
NPC-15199_10uM_24h,NPC-15199,10 uM,24 h,4,39,43,1,6,1,5,NPC
JTE-907_10uM_24h,JTE-907,10 uM,24 h,4,39,43,1,4,2,2,NPC
L-368899_10uM_24h,L-368899,10 uM,24 h,4,39,43,1,0,0,0,NPC
isoxicam_10uM_24h,isoxicam,10 uM,24 h,4,37,41,1,2,1,1,NPC
oxyphenbutazone_10uM_24h,oxyphenbutazone,10 uM,24 h,4,50,54,2,139,59,80,NPC
methyllycaconitine_10uM_24h,methyllycaconitine,10 uM,24 h,4,39,43,1,3,1,2,NPC
Ro-10-5824_10uM_24h,Ro-10-5824,10 uM,24 h,4,40,44,1,0,0,0,NPC
Ro-19-4605_10uM_24h,Ro-19-4605,10 uM,24 h,4,40,44,1,0,0,0,NPC
azacyclonol_10uM_24h,azacyclonol,10 uM,24 h,4,40,44,1,0,0,0,NPC
colforsin_10uM_24h,colforsin,10 uM,24 h,4,37,41,1,5,3,2,NPC
NSC-3852_10uM_24h,NSC-3852,10 uM,24 h,4,41,45,2,581,236,345,NPC
naringenin_10uM_24h,naringenin,10 uM,24 h,4,40,44,1,0,0,0,NPC
sulmazole_10uM_24h,sulmazole,10 uM,24 h,4,37,41,1,0,0,0,NPC
MR-16728_10uM_24h,MR-16728,10 uM,24 h,4,37,41,1,3,2,1,NPC
PNU-22394_10uM_24h,PNU-22394,10 uM,24 h,4,40,44,1,0,0,0,NPC
cinchonine_10uM_24h,cinchonine,10 uM,24 h,4,40,44,1,0,0,0,NPC
SR-59230A_10uM_24h,SR-59230A,10 uM,24 h,4,40,44,1,0,0,0,NPC
EBPC_10uM_24h,EBPC,10 uM,24 h,4,39,43,1,0,0,0,NPC
AMN-082_10uM_24h,AMN-082,10 uM,24 h,4,40,44,1,1,0,1,NPC
FIT_10uM_24h,FIT,10 uM,24 h,4,39,43,1,1,0,1,NPC
naltriben_10uM_24h,naltriben,10 uM,24 h,4,39,43,1,13,3,10,NPC
vincamine_10uM_24h,vincamine,10 uM,24 h,4,37,41,1,2,2,0,NPC
MRS-1845_10uM_24h,MRS-1845,10 uM,24 h,4,39,43,1,1,0,1,NPC
NTNCB_10uM_24h,NTNCB,10 uM,24 h,4,40,44,1,21,10,11,NPC
